,cycleway,footway,path,track,pedestrian,Total
User1304,1,10,33,32,0,76
User2649,26,14,26,10,0,76
User505,1,16,8,51,0,76
User1146,4,65,6,0,0,75
User904,0,1,74,0,0,75
User64,5,8,1,0,61,75
User456,0,5,24,46,0,75
User289,2,1,48,24,0,75
User118,11,43,19,2,0,75
User1261,2,44,27,0,1,74
User765,1,56,12,4,1,74
User290,8,58,0,0,8,74
User18,5,30,4,6,29,74
User1300,0,3,35,35,0,73
User1945,3,21,9,40,0,73
User83,7,54,0,0,12,73
User2605,31,31,9,0,2,73
User1325,14,40,15,3,1,73
User1477,0,51,4,17,0,72
User643,0,1,27,44,0,72
User160,23,27,15,7,0,72
User272,24,28,11,6,3,72
User1335,0,39,19,14,0,72
User1061,2,21,6,42,0,71
User217,22,25,9,14,1,71
User647,2,23,4,42,0,71
User1987,6,30,35,0,0,71
User869,0,5,36,30,0,71
User369,0,0,2,69,0,71
User1533,4,21,22,24,0,71
User1859,0,4,36,30,0,70
User785,19,11,8,31,1,70
User303,23,19,10,17,1,70
User2257,13,34,14,9,0,70
User882,6,21,43,0,0,70
User2103,5,58,3,1,3,70
User199,12,31,17,6,3,69
User1445,45,13,4,7,0,69
User2054,1,0,8,60,0,69
User406,1,1,3,64,0,69
User3065,1,42,6,20,0,69
User200,0,21,20,28,0,69
User359,7,49,5,3,5,69
User2033,0,14,24,31,0,69
User1897,1,8,9,51,0,69
User1030,2,43,12,11,0,68
User1423,0,15,24,29,0,68
User1507,9,23,11,12,13,68
User206,6,12,22,23,5,68
User431,2,13,5,36,12,68
User1116,17,41,4,4,2,68
User1650,0,0,38,30,0,68
User2210,0,38,10,19,1,68
User1547,3,3,30,32,0,68
User876,28,14,7,16,2,67
User1872,3,21,8,34,1,67
User1283,3,4,31,29,0,67
User2166,0,66,1,0,0,67
User853,2,45,19,0,1,67
User728,0,0,1,65,0,66
User71,29,7,17,13,0,66
User1228,0,59,1,4,1,65
User1551,2,62,1,0,0,65
User407,3,10,23,19,10,65
User1483,5,11,4,44,1,65
User897,5,14,29,17,0,65
User899,3,27,9,23,3,65
User2458,0,37,22,6,0,65
User98,9,31,6,19,0,65
User598,8,36,3,12,6,65
User2356,1,8,54,2,0,65
User833,2,27,23,11,2,65
User2203,0,2,19,44,0,65
User874,0,6,34,24,0,64
User2274,2,3,46,13,0,64
User1481,0,0,23,41,0,64
User530,9,1,48,6,0,64
User270,4,16,18,26,0,64
User1203,19,2,30,12,1,64
User185,21,21,9,12,1,64
User780,0,0,3,58,3,64
User2263,0,49,6,8,0,63
User805,5,8,1,49,0,63
User2909,2,17,37,6,1,63
User1099,28,17,10,1,7,63
User2359,0,0,0,63,0,63
User2129,3,46,8,5,0,62
User1426,2,3,11,46,0,62
User182,7,41,4,1,9,62
User2485,3,48,7,0,4,62
User3325,1,36,7,13,5,62
User1171,2,26,11,21,2,62
User900,5,25,15,13,4,62
User2252,0,0,4,57,0,61
User1680,1,31,4,25,0,61
User411,5,46,3,0,7,61
User1659,4,54,2,0,1,61
User1200,2,37,13,8,1,61
User2371,1,46,1,13,0,61
User1028,4,0,20,37,0,61
User2760,1,60,0,0,0,61
User470,0,59,0,0,2,61
User2400,0,4,27,29,0,60
User954,1,2,24,33,0,60
User1525,23,8,11,18,0,60
User1908,12,19,28,0,1,60
User873,2,0,31,26,0,59
User993,3,0,16,40,0,59
User329,1,45,8,4,1,59
User791,0,46,3,10,0,59
User945,4,11,22,13,9,59
User385,18,9,17,15,0,59
User1479,0,16,15,28,0,59
User1791,0,58,0,1,0,59
User328,3,50,0,5,0,58
User13,30,15,3,9,1,58
User836,1,55,2,0,0,58
User3343,0,42,10,1,5,58
User108,6,29,4,19,0,58
User1067,29,23,3,3,0,58
User585,7,1,15,35,0,58
User4410,1,53,4,0,0,58
User454,5,7,28,18,0,58
User436,2,2,7,47,0,58
User5343,0,58,0,0,0,58
